prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-DRK,SLOW,2.B.Blue,2026-04-07,3,504.0,502.0,0.76,0.114
CAL.R-DRK,SLOW,2.B.Blue,2026-06-30,3,504.0,502.0,0.763,0.108
CAL.R-DRK,SLOW,2.B.Green,2026-04-07,3,635.0,634.0,0.906,0.158
CAL.R-DRK,SLOW,2.B.Green,2026-06-30,3,634.0,633.0,0.885,0.193
CAL.R-DRK,SLOW,2.B.Red,2026-04-07,3,1563.0,1563.0,0.057,0.07
CAL.R-DRK,SLOW,2.B.Red,2026-06-30,3,1562.0,1562.0,0.059,0.076
CAL.R-DRK,SLOW,3.A.Blue,2026-04-07,3,498.0,496.0,1436.476,0.119
CAL.R-DRK,SLOW,3.A.Blue,2026-06-30,3,498.0,496.0,1436.474,0.12
CAL.R-DRK,SLOW,3.A.Green,2026-04-07,3,695.0,693.0,0.699,0.112
CAL.R-DRK,SLOW,3.A.Green,2026-06-30,3,695.0,693.0,0.81,0.125
CAL.R-DRK,SLOW,3.A.Red,2026-04-07,3,1681.0,1682.0,0.108,0.121
CAL.R-DRK,SLOW,3.A.Red,2026-06-30,3,1683.0,1683.0,0.131,0.132
CAL.R-DRK,SLOW,3.B.Blue,2026-04-07,3,834.0,835.0,0.074,0.084
CAL.R-DRK,SLOW,3.B.Blue,2026-06-30,3,834.0,834.0,0.074,0.123
CAL.R-DRK,SLOW,3.B.Green,2026-04-07,3,677.0,676.0,0.597,0.095
CAL.R-DRK,SLOW,3.B.Green,2026-06-30,3,678.0,677.0,0.408,0.105
CAL.R-DRK,SLOW,3.B.Red,2026-04-07,3,1610.0,1611.0,0.207,0.094
CAL.R-DRK,SLOW,3.B.Red,2026-06-30,3,1610.0,1611.0,0.165,0.096
CAL.R-DRK,SLOW,4.A.Green,2026-04-07,3,301.0,299.0,0.726,0.104
CAL.R-DRK,SLOW,4.A.Green,2026-06-30,3,303.0,301.0,0.71,0.154
CAL.R-DRK,SLOW,4.A.Red,2026-04-07,3,1536.0,1536.0,0.1,0.097
CAL.R-DRK,SLOW,4.A.Red,2026-06-30,3,1535.0,1536.0,0.124,0.116
CAL.R-DRK,SLOW,4.B.Blue,2026-04-07,3,677.0,677.0,0.114,0.088
CAL.R-DRK,SLOW,4.B.Blue,2026-06-30,3,677.0,677.0,0.101,0.108
CAL.R-DRK,SLOW,4.B.Green,2026-04-07,3,669.0,670.0,0.431,0.136
CAL.R-DRK,SLOW,4.B.Green,2026-06-30,3,669.0,670.0,0.438,0.206
CAL.R-DRK,SLOW,4.B.Red,2026-04-07,3,1721.0,1721.0,0.2,0.12
CAL.R-DRK,SLOW,4.B.Red,2026-06-30,3,1720.0,1721.0,0.252,0.12
